Institute Name,DTE Region,Region Type,Address,District,Taluka,Pincode,Std Code,Website,Email,Head Name,Office Number,Personal Number
"Government College of Engineering, Amravati",Amravati,Urban,"VMV Road, Near Kathora Naka,  Amravati",Amravati,,444604,0721,www.gcoea.ac.in,principal@gcoea.ac.in,Dr.W.Z.Gandhare,07212660 Ext.- 100,07212660 Ext.- 100
"Department of Computer Science, SGB Amravati University, Amravati",Amravati,Urban,"SGB Amravati University, Near Tapowan, Amravati",Amravati,,444602,0721,www.sgbau.ac.in,reg@sgbau.ac.in,"Dr.V.M.Thankare, H.O.D. ",2662358 Ext.- 268, Ext.- 
"Shri Sant Gajanan Maharaj College of Engineering,Shegaon",Amravati,Rural,"S.S.G.M.C.E Campus, Khamgaon Road, Shegaon Dist. Buldhana",Buldhana,,444203,07265,www.ssgmce.org,principal@ssgmce.ac.in,Dr. S. B. Somani,252216 Ext.- ,252216 Ext.- 
"Prof. Ram Meghe Institute of Technology & Research, Amravati",Amravati,Rural,"Anjangaon Bari Road, Badnera,  Amravati",Amravati,,444701,0721,www.mitra.ac.in,principal@mitra.ac.in,Prof. A. P. Bodkhe,2681246 Ext.- 202,2681246 Ext.- 203
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",Amravati,Rural,"Shri Gajanan Township ,Pote Estate, Kathora Road, Amravati",Amravati,,444602,0721,www.prpcem.org,prpotepatilcollege@gmail.com,Dr. Mrs. S. D. Wakde,2530342 Ext.- 223,2530089 Ext.- 233
"Maratha Shikshan Sanstha, P.R. Patil College of Engineering & Technology, Amravati",Amravati,Rural,"Gajanan Township Campus, (Post Estate), Kathore Road, Amravati",Amravati,,444603,0721,www.prpcet.org,director_prpce@rediffmail.com,Dr. D.G. Wakde,2530344 Ext.- 250, Ext.- 
"Sipna Shikshan Prasarak Mandal College of Engineering & Technology, Amravati",Amravati,Urban,"Sipna campus, Infront of Nemani Godown, Badnera Rd., Amravati",Amravati,,444701,0721,www.sipnaengg.ac.in,sipnaoffice@gmail.com,Dr. Siddharth A. Ladhake,2522342 Ext.- 102,2522343 Ext.- 
"Shri Shivaji Education Society's College of Engineering and Technology, Akola",Amravati,Rural,"Babhulgaon(Jn), Murtizapur Road, National Highway No. 6, Akola",Akola,,444104,0724,www.coeta.org,principalcoeta@gmail.com,Prof. Dr. S.K.Deshmukh,2259069 Ext.- 24,2456688 Ext.- 24
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",Amravati,Rural,"Anuradhha Nagar, Sakegaon Road, Chikhali Dist. Buldhana ",Buldhana,,443201,07264,www.aecc.ac.in,annprincipal55@gmail.com,Dr. Arun N. Nanhai,242063 Ext.- 206,242580 Ext.- 206
"Jawaharlal Darda Institute of Engineering and Technology, Yavatmal",Amravati,Rural,"MIDC, Lohara, Amaravati Road, Yavatmal",Yavatmal,,445001,07232,www.jdiet.ac.in,jdiet_yml@sancharnet.in,Dr. Avinash.W.Kolhatkar,249586 Ext.- ,249584 Ext.- 
